label,city,state_slug,state_abbr,url,population
"Pine City, MN",Pine City,minnesota,MN,/minnesota/pine-city/?tab=insights,3130
"Pine Island, MN",Pine Island,minnesota,MN,/minnesota/pine-island/?tab=insights,3769
"Plainview, MN",Plainview,minnesota,MN,/minnesota/plainview/?tab=insights,3237
"Plymouth, MN",Plymouth,minnesota,MN,/minnesota/plymouth/?tab=insights,75907
"Polk, MN",Polk,minnesota,MN,/minnesota/polk/?tab=insights,87433
"Preston, MN",Preston,minnesota,MN,/minnesota/preston/?tab=insights,1299
"Princeton, MN",Princeton,minnesota,MN,/minnesota/princeton/?tab=insights,4680
"Prior Lake, MN",Prior Lake,minnesota,MN,/minnesota/prior-lake/?tab=insights,27617
"Proctor, MN",Proctor,minnesota,MN,/minnesota/proctor/?tab=insights,3120
"Ramsey, MN",Ramsey,minnesota,MN,/minnesota/ramsey/?tab=insights,27646
"Red Lake Falls, MN",Red Lake Falls,minnesota,MN,/minnesota/red-lake-falls/?tab=insights,1339
"Red Wing, MN",Red Wing,minnesota,MN,/minnesota/red-wing/?tab=insights,16547
"Redby, MN",Redby,minnesota,MN,/minnesota/redby/?tab=insights,1334
"Redwood Falls, MN",Redwood Falls,minnesota,MN,/minnesota/redwood-falls/?tab=insights,5102
